route,category,split,zero_path_frames,los_fraction,gain_db_min,gain_db_max,camera_center_in_frustum_fraction,camera_center_in_frustum_and_rt_los_fraction
near_occlusion_007,near_occlusion,train,0,0.5885645741703319,-94.51500855611886,-65.0731453982409,1.0,0.5841584158415841
near_occlusion_008,near_occlusion,test,0,0.8200719712115154,-93.12859224034435,-66.99499884738438,1.0,0.8217821782178217
near_occlusion_009,near_occlusion,train,0,0.5977608956417433,-97.23693436704325,-67.10339938292708,1.0,0.594059405940594
near_occlusion_010,near_occlusion,train,0,0.6117552978808477,-98.88406738171135,-70.04183350174341,0.3465346534653465,0.27722772277227725
near_occlusion_011,near_occlusion,train,0,0.7720911635345862,-119.33049162701624,-65.47317230239516,0.6633663366336634,0.43564356435643564
near_occlusion_012,near_occlusion,train,0,0.7600959616153539,-95.1715014035791,-69.47229162910772,0.0,0.0
near_occlusion_013,near_occlusion,train,0,0.795281887245102,-92.1203556307624,-70.34482112191529,1.0,0.7920792079207921
near_occlusion_014,near_occlusion,train,0,0.6233506597361056,-106.57653367668397,-66.98619249177621,0.297029702970297,0.0
near_occlusion_015,near_occlusion,train,0,0.6505397840863655,-104.74363847753652,-69.85464130636569,0.06930693069306931,0.0
near_occlusion_016,near_occlusion,train,0,0.5897640943622551,-91.12682708146615,-67.32485316567579,1.0,0.5841584158415841
near_occlusion_017,near_occlusion,train,0,0.8704518192722911,-86.19449411699387,-63.31827692225488,1.0,0.8613861386138614
near_occlusion_018,near_occlusion,train,0,0.6197520991603359,-98.84339336122834,-66.6028026751705,1.0,0.6138613861386139
near_occlusion_019,near_occlusion,val,0,0.8564574170331867,-78.8702409299208,-63.20078180232088,0.6732673267326733,0.5247524752475248
near_occlusion_020,near_occlusion,train,0,0.6017592962814874,-97.8256475034131,-67.84718033783031,1.0,0.6039603960396039
near_occlusion_021,near_occlusion,test,0,0.7880847660935626,-89.62121926831355,-67.1354213010238,0.1485148514851485,0.0
near_occlusion_022,near_occlusion,train,0,0.601359456217513,-94.8879219455267,-67.514619452425,1.0,0.6039603960396039
near_occlusion_023,near_occlusion,train,0,0.6665333866453419,-90.71590528424579,-70.47708417162315,1.0,0.6633663366336634
near_occlusion_024,near_occlusion,train,0,0.4974010395841663,-106.34374851753972,-68.24690271309811,0.297029702970297,0.0
near_occlusion_025,near_occlusion,train,0,0.6953218712514994,-78.92205824270961,-61.576276367366624,0.8415841584158416,0.5346534653465347
near_occlusion_026,near_occlusion,test,0,0.5725709716113555,-98.45704682173034,-66.62113324603571,1.0,0.5742574257425742
near_occlusion_027,near_occlusion,val,0,0.6189524190323871,-96.12819712123608,-69.38042979526125,1.0,0.6237623762376238
near_occlusion_028,near_occlusion,train,0,0.5665733706517393,-98.82850542261116,-69.602587907204,1.0,0.5643564356435643
near_occlusion_029,near_occlusion,train,0,0.7680927628948421,-83.21073807413556,-65.25692780554327,0.7524752475247525,0.5148514851485149
near_occlusion_030,near_occlusion,val,0,0.6365453818472611,-97.26769467598211,-66.8391187296171,1.0,0.6336633663366337
near_occlusion_031,near_occlusion,train,0,0.683326669332267,-93.45111766418755,-69.19068152218746,1.0,0.6831683168316832
near_occlusion_032,near_occlusion,train,0,0.8148740503798481,-91.49950913759665,-66.82144676927447,0.0,0.0
near_occlusion_033,near_occlusion,train,0,0.5725709716113555,-105.50347225547823,-67.18067696175359,0.46534653465346537,0.27722772277227725
near_occlusion_034,near_occlusion,train,0,0.8644542183126749,-124.84061780316208,-64.39064518813237,0.33663366336633666,0.297029702970297
near_occlusion_035,near_occlusion,train,0,0.7289084366253499,-121.31867277237701,-64.44705578820626,0.297029702970297,0.21782178217821782
near_occlusion_036,near_occlusion,train,0,0.5529788084766094,-96.2683902351065,-66.66453942932537,1.0,0.5544554455445545
near_occlusion_037,near_occlusion,train,0,0.6085565773690523,-105.42632901508036,-67.69750234446201,0.07920792079207921,0.0
near_occlusion_038,near_occlusion,val,0,0.6409436225509796,-91.86630275323326,-67.91621207489126,1.0,0.6435643564356436
near_occlusion_039,near_occlusion,train,0,0.8204718112754898,-82.93260205472846,-63.11400466552097,0.5643564356435643,0.38613861386138615
far_normal_000,far_normal,train,0,1.0,-83.67704996939406,-80.60974461614757,1.0,1.0
far_normal_001,far_normal,train,0,1.0,-79.9098952303608,-75.53374705860237,1.0,1.0
far_normal_002,far_normal,train,0,1.0,-79.68881702311954,-77.9820181624105,1.0,1.0
far_normal_003,far_normal,train,0,1.0,-81.95098035515967,-80.15448068564652,1.0,1.0
far_normal_004,far_normal,train,0,1.0,-78.47371711883736,-74.03334145410207,0.594059405940594,0.594059405940594
far_normal_005,far_normal,test,0,1.0,-81.51655597600262,-79.54768249777086,1.0,1.0
far_normal_006,far_normal,train,0,1.0,-81.33798858843375,-77.56452520375346,1.0,1.0
far_normal_007,far_normal,train,0,1.0,-77.17218416825392,-74.51321971039621,1.0,1.0
far_normal_008,far_normal,train,0,1.0,-81.28883197850388,-71.60278343716942,1.0,1.0
far_normal_009,far_normal,train,0,1.0,-81.06514459424142,-75.44977541708951,1.0,1.0
far_normal_010,far_normal,train,0,1.0,-82.52836709790637,-79.99755479469832,1.0,1.0
far_normal_011,far_normal,val,0,1.0,-78.72702400582448,-74.29806479375796,1.0,1.0
far_normal_012,far_normal,test,0,1.0,-81.1117538655729,-76.6431533414938,1.0,1.0
far_normal_013,far_normal,train,0,1.0,-79.90431100439226,-76.58057397838468,1.0,1.0
far_normal_014,far_normal,train,0,1.0,-85.80652717922767,-70.45151713920174,1.0,1.0
far_normal_015,far_normal,train,0,1.0,-80.91910618657752,-77.67405695979318,1.0,1.0
far_normal_016,far_normal,train,0,1.0,-76.02064399037609,-74.35261068986358,1.0,1.0
far_normal_017,far_normal,val,0,1.0,-80.65706491971162,-77.71457874646404,1.0,1.0
far_normal_018,far_normal,train,0,1.0,-76.8906126790923,-76.06008511172456,1.0,1.0
far_normal_019,far_normal,train,0,1.0,-81.04176658728528,-78.33624466008317,1.0,1.0
far_maneuver_000,far_maneuver,train,0,1.0,-81.6479596760506,-78.72023224558207,1.0,1.0
far_maneuver_001,far_maneuver,train,0,1.0,-79.54164890654256,-65.11349530029707,1.0,1.0
far_maneuver_002,far_maneuver,test,0,1.0,-80.01422707636698,-77.21212785516862,1.0,1.0
far_maneuver_003,far_maneuver,train,0,1.0,-78.62323639499098,-74.52472568417183,1.0,1.0
far_maneuver_004,far_maneuver,train,0,1.0,-80.1004874857493,-68.15353421541761,1.0,1.0
far_maneuver_005,far_maneuver,train,0,1.0,-82.8109068326472,-76.755046593866,1.0,1.0
far_maneuver_006,far_maneuver,val,0,1.0,-82.95359669859843,-81.06928977952927,1.0,1.0
far_maneuver_007,far_maneuver,test,0,1.0,-79.7259997876677,-77.60981169881535,1.0,1.0
far_maneuver_008,far_maneuver,train,0,1.0,-78.92642236384798,-73.47986962759921,1.0,1.0
far_maneuver_009,far_maneuver,train,0,1.0,-81.49776769973074,-76.27456588625724,1.0,1.0
far_maneuver_010,far_maneuver,train,0,1.0,-80.34906389823433,-74.60312611067684,0.8217821782178217,0.8217821782178217
far_maneuver_011,far_maneuver,train,0,1.0,-81.86450024690993,-76.30050584847582,1.0,1.0
far_maneuver_012,far_maneuver,train,0,1.0,-79.77394808038964,-78.08087905858625,1.0,1.0
far_maneuver_013,far_maneuver,val,0,1.0,-80.63219997051516,-72.55654899962516,1.0,1.0
far_maneuver_014,far_maneuver,train,0,1.0,-82.43897924922287,-80.31855429228219,1.0,1.0
far_maneuver_015,far_maneuver,train,0,1.0,-82.84104044951448,-79.70944073287855,1.0,1.0
far_maneuver_016,far_maneuver,train,0,1.0,-82.03961363110771,-77.29105689097396,1.0,1.0
far_maneuver_017,far_maneuver,train,0,1.0,-81.51880338919803,-76.43654866193069,1.0,1.0
far_maneuver_018,far_maneuver,train,0,1.0,-76.8947672729716,-65.03055054091264,1.0,1.0
far_maneuver_019,far_maneuver,train,0,1.0,-78.64517865210121,-76.61483987036877,1.0,1.0
far_occlusion_000,far_occlusion,train,125,0.5873650539784087,-350.0,-68.18672913003736,1.0,0.5841584158415841
far_occlusion_001,far_occlusion,test,0,0.7712914834066373,-122.1231967033436,-80.64965991070274,1.0,0.7722772277227723
far_occlusion_002,far_occlusion,train,0,0.536985205917633,-118.64715865133972,-79.86076225968088,1.0,0.5346534653465347
far_occlusion_003,far_occlusion,val,0,0.4974010395841663,-157.27350007742805,-73.96995496760164,1.0,0.49504950495049505
far_occlusion_004,far_occlusion,train,0,0.28228708516593365,-138.4040924293594,-70.97351593460621,1.0,0.27722772277227725
far_occlusion_005,far_occlusion,train,0,0.5749700119952019,-109.9565983672884,-78.60365718115595,1.0,0.5742574257425742
far_occlusion_006,far_occlusion,train,0,0.5925629748100759,-127.40601363694282,-80.18183166898689,1.0,0.594059405940594
far_occlusion_007,far_occlusion,train,0,0.8168732506997202,-124.29882171066994,-79.78304770538783,1.0,0.8217821782178217
far_occlusion_008,far_occlusion,train,0,0.8716513394642144,-130.7045032458005,-80.55547274766218,1.0,0.8712871287128713
far_occlusion_009,far_occlusion,train,0,0.6473410635745702,-138.68228337135338,-74.01199644107665,1.0,0.6435643564356436
far_occlusion_010,far_occlusion,test,0,0.6621351459416234,-126.11944293001702,-71.45048715132839,1.0,0.6633663366336634
far_occlusion_011,far_occlusion,train,0,0.8564574170331867,-123.52815514767023,-79.16141420987786,1.0,0.8514851485148515
far_occlusion_012,far_occlusion,val,0,0.374250299880048,-95.2204889529944,-75.49143330587923,1.0,0.37623762376237624
far_occlusion_013,far_occlusion,train,0,0.7544982007197121,-123.32133491892769,-80.37948836271583,1.0,0.7524752475247525
far_occlusion_014,far_occlusion,train,0,0.732906837265094,-134.25545336391184,-79.73685746901913,1.0,0.7326732673267327
far_occlusion_015,far_occlusion,val,0,0.565373850459816,-124.14353256355403,-82.46702725838958,1.0,0.5643564356435643
far_occlusion_016,far_occlusion,val,0,0.8356657337065174,-131.70174397298726,-78.04271983573057,1.0,0.8316831683168316
far_occlusion_017,far_occlusion,train,0,0.4714114354258297,-123.48385015890828,-78.5218433230584,1.0,0.4752475247524752
far_occlusion_018,far_occlusion,train,0,0.6665333866453419,-133.91835308009334,-68.10204628612622,1.0,0.6633663366336634
far_occlusion_019,far_occlusion,train,0,0.641343462614954,-122.16345763024015,-78.3589814372088,1.0,0.6435643564356436
far_occlusion_020,far_occlusion,train,265,0.5217912834866053,-350.0,-69.60259184961174,1.0,0.5247524752475248
far_occlusion_021,far_occlusion,train,0,0.4498200719712115,-133.78363252961648,-79.06148650324758,1.0,0.44554455445544555
far_occlusion_022,far_occlusion,train,0,0.4290283886445422,-126.77057076905783,-79.3190068612037,1.0,0.42574257425742573
far_occlusion_023,far_occlusion,train,0,0.4622151139544182,-102.4455019139291,-73.31596069043857,0.9405940594059405,0.40594059405940597
far_occlusion_024,far_occlusion,train,0,0.6045581767293082,-127.52070490329301,-76.91438905524373,1.0,0.6039603960396039
far_occlusion_025,far_occlusion,train,0,0.47421031587365053,-118.73381043025108,-77.44209345737306,1.0,0.4752475247524752
far_occlusion_026,far_occlusion,train,0,0.5261895241903238,-129.26324401498047,-79.06835177028778,1.0,0.5247524752475248
far_occlusion_027,far_occlusion,train,0,0.5133946421431428,-128.83165455894505,-77.95427754532125,1.0,0.5148514851485149
far_occlusion_028,far_occlusion,train,0,0.7425029988004798,-118.26023727277456,-68.31116345579579,1.0,0.7425742574257426
far_occlusion_029,far_occlusion,test,144,0.5533786485405837,-350.0,-77.31282311874702,1.0,0.5544554455445545
far_occlusion_030,far_occlusion,train,0,0.5365853658536586,-96.5828027674098,-73.84400761047453,1.0,0.5346534653465347
far_occlusion_031,far_occlusion,train,0,0.5881647341063575,-127.36450226919763,-78.86801295187938,1.0,0.5841584158415841
far_occlusion_032,far_occlusion,train,0,0.630547780887645,-122.82454690929447,-74.738038440049,1.0,0.6336633663366337
far_occlusion_033,far_occlusion,test,0,0.5117952818872451,-119.99202057370951,-75.9822221369557,1.0,0.5148514851485149
far_occlusion_034,far_occlusion,train,0,0.5293882447021192,-157.7274748199627,-70.79806173414065,1.0,0.5247524752475248
far_occlusion_035,far_occlusion,train,0,0.505797680927629,-130.40414535426828,-77.64183659935067,1.0,0.504950495049505
far_occlusion_036,far_occlusion,train,309,0.5053978408636546,-350.0,-80.58899878301489,1.0,0.504950495049505
far_occlusion_037,far_occlusion,train,0,0.5153938424630148,-159.95739366139688,-70.70828321438829,1.0,0.5148514851485149
far_occlusion_038,far_occlusion,train,0,0.8572570971611355,-87.0499840125326,-72.9649808133858,0.44554455445544555,0.297029702970297
far_occlusion_039,far_occlusion,train,0,0.47700919632147143,-141.94321145699706,-65.57783045038364,1.0,0.4752475247524752
